filename,label_index,label,st_frame,end_frame
s08-d02-cam-002,56,take out from fridge,120,303
s08-d02-cam-002,56,take out from fridge,358,438
s08-d02-cam-002,21,open/close fridge,441,559
s08-d02-cam-002,16,move from X to Y,561,629
s08-d02-cam-002,55,take out from drawer,644,860
s08-d02-cam-002,55,take out from drawer,870,1005
s08-d02-cam-002,3,cut apart,1074,1164
s08-d02-cam-002,50,take \& put in fridge,1173,1397
s08-d02-cam-002,24,peel,1433,2347
s08-d02-cam-002,6,cut off ends,2365,2441
s08-d02-cam-002,63,wash objects,2458,2522
s08-d02-cam-002,40,shake,2522,2643
s08-d02-cam-002,55,take out from drawer,2655,2835
s08-d02-cam-002,3,cut apart,2946,3207
s08-d02-cam-002,4,cut dice,3211,4001
s08-d02-cam-002,37,scratch off,4001,4065
s08-d02-cam-002,5,cut in,4065,4126
s08-d02-cam-002,4,cut dice,4134,4489
s08-d02-cam-002,53,take ingredient apart,4489,4566
s08-d02-cam-002,63,wash objects,4687,4803
s08-d02-cam-002,40,shake,4820,4851
s08-d02-cam-002,3,cut apart,4881,4926
s08-d02-cam-002,8,cut slices,4965,5074
s08-d02-cam-002,4,cut dice,5077,5185
s08-d02-cam-002,29,put in bowl,5200,5252
s08-d02-cam-002,29,put in bowl,5260,5305
s08-d02-cam-002,7,cut out inside,5318,5469
s08-d02-cam-002,8,cut slices,5477,5650
s08-d02-cam-002,4,cut dice,5733,5864
s08-d02-cam-002,29,put in bowl,5884,5940
s08-d02-cam-002,29,put in bowl,6041,6092
s08-d02-cam-002,63,wash objects,6141,6292
s08-d02-cam-002,40,shake,6292,6324
s08-d02-cam-002,3,cut apart,6348,6414
s08-d02-cam-002,8,cut slices,6450,6630
s08-d02-cam-002,4,cut dice,6637,6788
s08-d02-cam-002,29,put in bowl,6792,6845
s08-d02-cam-002,7,cut out inside,6872,6960
s08-d02-cam-002,8,cut slices,6970,7105
s08-d02-cam-002,4,cut dice,7116,7205
s08-d02-cam-002,29,put in bowl,7206,7272
s08-d02-cam-002,62,wash hands,7303,7374
s08-d02-cam-002,16,move from X to Y,7391,7421
s08-d02-cam-002,10,dry,7421,7493
s08-d02-cam-002,58,take out from spice holder,7497,7545
s08-d02-cam-002,39,screw open,7550,7598
s08-d02-cam-002,41,smell,7602,7614
